mainData_articul;configCard_section;mainData_name;mainData_description;mainData_price;mainData_oldPrice;characteristic_width;characteristic_picture;characteristic_color;characteristic_counryOfOrigin;characteristic_composition;characteristic_weight;seoTags_header;seoTags_description;seoTags_keyWords
Т-сгл-13;Сатин (220-250см.);Сатин люкс сиреневый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;580;;240;Однотонный;Сиреневый;Турция;100% хлопок;130гр;Хлопковая ткань, Турецкий сатин;Хлопковая ткань, Турецкий сатин Сатин;Ткань, сатин, турецкий сатин, широкий сатин
КМР-16;Бязь;Бязь горох на черном;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Горох;Черный;Россия;100% хлопок;120-125гр;;;
Т-рнф-28;Ранфорс;Ранфорс Космос;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;390;;240;Космос;Мультицвет;Турция;100% хлопок;120гр;;;
К-пм-26/1;Плюш;Плюш минки бирюзовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;420;;180;Однотонный;Голубой;Китай;100% пэ;260гр;;;
КМР-7;Бязь;Бязь горох на желтом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Желтый;Россия;100% хлопок;120-125гр;;;
КМР-8;Бязь;Бязь горох на бирюзовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Голубой;Россия;100% хлопок;120-125гр;;;
КМР-10;Бязь;Бязь горох на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Розовый;Россия;100% хлопок;120-125гр;;;
КМР-13;Бязь;Бязь горох на сером;;185;;150;Горох;Серый;Россия;100% хлопок;120-125гр;;;
КМР-14;Бязь;Бязь горох на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Горох;Коричневый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-1;Бязь;Бязь звезды на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Розовый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-2;Бязь;Бязь звезды на мятном;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Мятыйн;Россия;100% хлопок;120-125гр;;;
ИТ-зв-2б;Бязь;Бязь звезды мятные на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Звезды;Мятный;Россия;100% хлопок;120-125гр;;;
ИТ-зв-3;Бязь;Бязь звезды на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-3б;Бязь;Бязь звезды серые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-4;Бязь;Бязь звезды на голубом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Голубой;Россия;100% хлопок;120-125гр;;;
ИТ-зв-5;Бязь;Бязь звезды на бирюзовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Голубой;Россия;100% хлопок;120-125гр;;;
ИТ-зв-6;Бязь;Бязь звезды на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Коричневый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-6б;Бязь;Бязь звезды коричневые на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Коричневый;Россия;100% хлопок;120-125гр;;;
ИТ-зв-8;Бязь;Бязь звезды на синем;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Синий;Россия;100% хлопок;120-125гр;;;
ИТ-зв-8б;Бязь;Бязь звезды синие на белом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Синий;Россия;100% хлопок;120-125гр;;;
Ит-пр-1;Бязь;Бязь звезды пряничные на сером;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Серый;Россия;100% хлопок;120-125гр;;;
Ит-пр-2;Бязь;Бязь звезды пряничные на коричневом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Звезды;Коричневый;Россия;100% хлопок;120-125гр;;;
Ит-пр-3;Бязь;Бязь звезды пряничные на розовом;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Звезды;Розовый;Россия;100% хлопок;120-125гр;;;
Ит-зг-1;Бязь;Бязь зигзаг бирюзовый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;139;185;150;Геометрия;Голубой;Россия;100% хлопок;120-125гр;;;
Ит-зг-3;Бязь;Бязь зигзаг серый;Товар добавляется в корзину кратно 1м. Если Вам нужен нестандартный отрез (например, 0,5м) , укажите эту информацию в комментарии к заказу в корзине. Мы откорректируем заказ согласно Вашим пожеланиям. При заказе от 3000руб. Вы получите дополнительную скидку 5%.;185;;150;Геометрия;Серый;Россия;100% хлопок;120-125гр;;;
